Session,Borough,Swimming Pool,Class Type,StartTime,Total Registration,Total Attendance,ClassName
,M,Chelsea Recreation Center,,11/04/2024 09:00:00 PM,22,11,Chelsea: Afterschool Learn to Swim
,Q,Flushing Meadows Corona Park Aquatics Center,,04/12/2023 04:00:00 PM,30,13,Holiday Learn to Swim Class C
,M,Gertrude Ederle Recreation Center,Adult,10/26/2024 04:00:00 PM,31,11,Gertrude Ederle: Adults Learn to Swim
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,11/01/2024 09:30:00 PM,10,5,FMAC: Adult Learn to Swim (Level 1)
,M,Gertrude Ederle Recreation Center,Level 2,11/05/2022 01:30:00 PM,13,13,Gertrude Ederle Saturday Children's Learn to Swim Level 2
,Q,Roy Wilkins Recreation Center,Level 1,03/02/2024 04:30:00 PM,25,6,Roy Wilkins Recreation Center - Children Learn to Swim Level 1 - Saturday
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,12/11/2023 09:00:00 PM,15,8,"Learn to Swim: Children Intermediate Level 3 - Mondays, 4pm"
,M,Asser Levy Recreation Center,,04/18/2024 05:00:00 PM,18,8,Asser Levy Senior Learn to Swim: Thursdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,08/27/2024 09:00:00 PM,26,12,FMAC: Children's Learn to Swim (Level 3)
3,Q,Liberty Pool,Level 2,08/10/2023 05:00:00 PM,22,6,Session 3: Liberty Pool - Children's Learn to Swim Level 2 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,04/08/2023 03:00:00 PM,13,9,"Learn to Swim: Children ADV. Beginner Level 2 - Saturdays, 11am"
,X,St. Mary's Recreation Center,Level 2,05/28/2022 02:30:00 PM,18,18,St. Mary's Learn to Swim Level 2
,B,St. John's Recreation Center,,01/03/2022 09:00:00 PM,6,6,St. John's Learn to Swim: Children
3,X,Crotona Pool,Level 1,08/13/2024 05:00:00 PM,,25,Session 3: Crotona Pool - Children's Learn to Swim Level 1 (Class A)
3,B,Red Hook Pool,Level 1,08/13/2024 06:00:00 PM,64,27,Session 3: Red Hook Pool - Children's Learn to Swim Level 1 (Class B)
,Q,Roy Wilkins Recreation Center,Adult,02/04/2023 06:15:00 PM,30,18,Roy Wilkins Learn to Swim: Adults - ADMIN ONLY
,B,Metropolitan Pool & Recreation Center,Adult,12/03/2022 05:30:00 PM,13,13,Metropolitan Learn to Swim: Adults
,M,Gertrude Ederle Recreation Center,Level 2,08/09/2023 04:00:00 PM,30,26,Gertrude Ederle Recreation Center - Children's Learn to Swim Level 2 (Wednesdays)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,08/22/2024 10:00:00 PM,24,13,FMAC: Children's Learn to Swim (Level 2)
1,Q,Fisher Pool,Level 2,07/12/2024 12:00:00 PM,,10,Session 1: Fisher Pool - Children's Learn to Swim Level 2 (Class B)
,M,Constance Baker Motley Recreation Center,Level 2,05/06/2023 01:30:00 PM,28,9,Constance Baker Motley Saturday Children Learn to Swim Level 2
,B,Metropolitan Pool & Recreation Center,,01/19/2022 09:00:00 PM,11,11,Metropolitan Learn to Swim: Children
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,02/12/2024 10:00:00 PM,10,8,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Mondays, 5pm"
,M,Wagner College,Level 1,06/15/2024 09:00:00 PM,16,5,Wagner College Saturday Children Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,03/12/2024 05:00:00 PM,16,6,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Tuesdays
,B,Metropolitan Pool & Recreation Center,Tot,10/26/2024 03:30:00 PM,21,16,Metropolitan: Tots Learn to Swim
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,11/21/2023 12:00:00 AM,3,1,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Mondays
,B,St. John's Recreation Center,,05/08/2023 08:00:00 PM,15,6,St. John's Learn to Swim: Children - Mondays
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,01/13/2024 06:15:00 PM,17,8,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Saturdays
