Session,Borough,Swimming Pool,Class Type,StartTime,Total Registration,Total Attendance,ClassName
,M,Gertrude Ederle Recreation Center,,12/29/2022 03:00:00 PM,9,6,Holiday Learn to Swim Gertrude Ederle Class A
,M,Gertrude Ederle Recreation Center,,12/26/2023 04:00:00 PM,30,6,Holiday Learn to Swim Gertrude Ederle Class A
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,11/19/2024 06:00:00 PM,20,4,FMAC: Adult Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,08/13/2024 04:00:00 PM,15,13,FMAC: Senior Learn to Swim (Level 2)
1,,Hamilton Fish Pool,Level 1A,07/12/2023 05:00:00 PM,42,11,Session I Children Learn to Swim Hamilton Fish Pool Level 1A
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,01/15/2024 11:00:00 PM,6,4,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Mondays, 6pm"
,M,Chelsea Recreation Center,Adult,10/28/2023 04:00:00 PM,30,30,Chelsea Learn to Swim: Adults
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,01/29/2024 06:00:00 PM,5,4,Flushing Meadows Aquatic Center Adult Learn to Swim Level 2 - Mondays
,B,Metropolitan Pool & Recreation Center,,05/25/2022 08:00:00 PM,28,19,Metropolitan Learn to Swim: Children (Wednesday)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,06/15/2023 08:00:00 PM,10,7,"Learn to Swim: Children Intermediate Level 3 - Thursdays, 4pm"
,B,Metropolitan Pool & Recreation Center,Tot,01/28/2023 05:00:00 PM,19,4,Metropolitan Learn to Swim: Tots - Saturdays - ADMIN ONLY
,Q,Roy Wilkins Recreation Center,,10/31/2024 08:00:00 PM,27,12,Roy Wilkins: Afterschool Learn to Swim
3,,Hamilton Fish Pool,Level 2,08/23/2024 04:00:00 PM,,18,Session 3: Hamilton Fish Pool - Children's Learn to Swim Level 2 (Class B)
,M,Constance Baker Motley Recreation Center,Tot,04/22/2023 03:30:00 PM,10,4,Constance Baker Motley Learn to Swim: Tots - Saturdays
,Q,Roy Wilkins Recreation Center,,04/17/2024 08:00:00 PM,33,4,Roy Wilkins SQPA Learn to Swim: Children - Wednesday
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,07/22/2024 04:00:00 PM,14,10,FMAC: Senior Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,12/06/2023 09:00:00 PM,3,1,"Learn to Swim: Children ADV. Swimmer Level 5 - Wednesdays, 4pm"
,B,St. John's Recreation Center,,02/23/2023 05:00:00 PM,29,10,Holiday Learn to Swim St Johns Class B
,B,Metropolitan Pool & Recreation Center,,04/20/2022 08:00:00 PM,26,13,Metropolitan Learn to Swim: Children (Wednesday)
3,Q,Fisher Pool,Level 2,08/09/2024 03:00:00 PM,25,13,Session 3: Fisher Pool - Children's Learn to Swim Level 2 (Class A)
,M,Gertrude Ederle Recreation Center,,01/16/2024 09:00:00 PM,30,6,Gertrude Ederle Learn to Swim: Children - Tuesday
3,Q,Liberty Pool,Tot,08/10/2023 03:00:00 PM,12,10,Session 3: Liberty Pool - Tots Learn to Swim (Class A)
,B,Metropolitan Pool & Recreation Center,,10/31/2022 08:00:00 PM,31,12,Metropolitan Learn to Swim: Children - Mondays
3,,Hamilton Fish Pool,Tot,08/18/2023 04:00:00 PM,20,6,Session 3: Hamilton Fish Pool - Tots Learn to Swim (Class B)
,B,Metropolitan Pool & Recreation Center,Level 2,03/19/2022 02:00:00 PM,11,11,Metropolitan Learn to Swim: Children Level 2
,R,Lyons Pool,Level 5,08/26/2024 06:00:00 PM,14,14,Advanced: Lyons Pool - Children's Learn to Swim Level 5
,M,Constance Baker Motley Recreation Center,,04/02/2024 08:00:00 PM,25,13,Constance Baker Motley Learn to Swim: Children - Tuesday
,M,Chelsea Recreation Center,Seniors,11/08/2023 07:30:00 PM,6,2,Chelsea Learn to Swim: Seniors
,B,St. John's Recreation Center,,03/23/2022 08:00:00 PM,12,8,St. John's Learn to Swim: Children
,M,Asser Levy Recreation Center,Level 2,01/21/2023 02:30:00 PM,18,18,Asser Levy Saturday Children Learn to Swim Level 2
,M,Constance Baker Motley Recreation Center,,04/18/2024 08:00:00 PM,26,9,Constance Baker Motley Learn to Swim: Children - Thursday
,M,Asser Levy Recreation Center,Level 2,03/04/2023 02:30:00 PM,18,12,Asser Levy Saturday Children Learn to Swim Level 2
,M,Asser Levy Recreation Center,Tot,03/23/2024 03:30:00 PM,15,6,Asser Levy Learn to Swim: Tots
,M,Gertrude Ederle Recreation Center,Seniors,03/07/2024 06:00:00 PM,10,3,Gertrude Ederle Learn to Swim: Seniors - Thursday
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,11/17/2023 06:00:00 PM,4,1,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Fridays
,X,St. Mary's Recreation Center,Adult,03/19/2022 05:00:00 PM,14,4,St.Mary's Learn to Swim: Adults
,M,Asser Levy Recreation Center,Adult,03/23/2024 04:00:00 PM,20,7,Asser Levy Learn to Swim: Adults
,M,Chelsea Recreation Center,Level 1,08/15/2024 06:00:00 PM,34,1,Chelsea Recreation Center: Children's Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,02/17/2024 06:15:00 PM,16,6,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Saturdays
3,R,Lyons Pool,Tot,08/17/2023 04:00:00 PM,20,8,Session 3: Lyons Pool - Tots Learn to Swim ( Class B)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,03/11/2024 08:00:00 PM,3,1,Learn to Swim: Children ADV. Swimmer Level 5 - Mondays 4pm
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,06/25/2024 10:00:00 PM,16,6,"Flushing Meadows Aquatics Center- Children Learn to Swim Level 2 - Tuesdays, 6pm"
,Q,Roy Wilkins Recreation Center,,03/14/2024 08:00:00 PM,26,1,Roy Wilkins Learn To Swim: Children - Thursday
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,05/18/2023 08:00:00 PM,6,3,"Learn to Swim: Children Swimmer Level 4  - Thursdays, 4pm"
,M,Chelsea Recreation Center,,10/19/2022 08:00:00 PM,16,13,Chelsea Learn to Swim: Children - Wednesdays
,B,Metropolitan Pool & Recreation Center,,11/11/2024 09:00:00 PM,36,15,Metropolitan: Afterschool Learn to Swim
,B,Metropolitan Pool & Recreation Center,,12/29/2022 04:00:00 PM,10,9,Holiday Learn to Swim Metropolitan Class B
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,09/09/2023 01:00:00 PM,11,8,"Flushing Meadows Aquatics Center -Children's Learn to Swim Level 1 -(Saturdays, 9am)"
1,X,Crotona Pool,Level 2,07/11/2024 11:00:00 AM,,11,Session 1: Crotona Pool - Children's Learn to Swim Level 2 (Class A)
,M,Gertrude Ederle Recreation Center,Adult,10/22/2022 04:15:00 PM,23,23,Gertrude Ederle Learn to Swim: Adults
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,06/25/2024 05:00:00 PM,11,8,Flushing Meadows Aquatic Center Adult Learn to Swim Level 2 - Tuesdays
,M,Gertrude Ederle Recreation Center,,02/21/2023 09:00:00 PM,16,3,Gertrude Ederle Learn to Swim: Children - Tuesdays - ADMIN ONLY
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,02/28/2024 10:00:00 PM,14,8,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Wednesdays, 5pm"
,B,Metropolitan Pool & Recreation Center,Level 1,02/24/2024 04:00:00 PM,35,13,Metropolitan Learn to Swim: Children Level 1
2,,Hamilton Fish Pool,Level 1,07/29/2024 06:00:00 PM,,4,Session 2: Hamilton Fish Pool - Children's Learn to Swim Level 1 (Class B)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,10/30/2023 05:00:00 PM,2,2,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Mondays
,B,Metropolitan Pool & Recreation Center,,05/09/2022 08:00:00 PM,20,9,Metropolitan Learn to Swim: Children (Monday)
,M,Chelsea Recreation Center,,10/24/2022 08:00:00 PM,10,2,Chelsea Learn to Swim:  Children - Mondays
,,Offsite Locations,Adult,05/25/2024 05:30:00 PM,33,8,Evander Child's Learn to Swim: Adults - Saturdays
,Q,Fisher Pool,Level 3,08/26/2024 04:00:00 PM,20,15,Advanced: Fisher Pool - Children's Learn to Swim Level 3 (Class B)
,Q,Roy Wilkins Recreation Center,Level 1,07/24/2023 07:30:00 PM,31,19,Roy Wilkins Recreation Center - Children's Learn to Swim Level 1 (Mondays)
,M,Asser Levy Recreation Center,Adult,06/17/2023 04:15:00 PM,30,8,Asser Levy Learn to Swim: Adults
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,12/07/2023 12:00:00 AM,7,5,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Wednesdays, 7pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,08/15/2023 05:00:00 PM,12,8,Flushing Meadows Aquatics Center- Adult Learn to Swim Level 2 (Tuesdays)
3,B,Red Hook Pool,Tot,08/17/2023 04:00:00 PM,21,4,Session 3: Red Hook Pool - Tots Learn to Swim (Class B)
,M,Gertrude Ederle Recreation Center,,12/30/2022 04:00:00 PM,6,4,Holiday Learn to Swim Gertrude Ederle Class B
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,06/11/2024 10:00:00 PM,17,10,"Flushing Meadows Aquatics Center- Children Learn to Swim Level 2 - Tuesdays, 6pm"
,Q,Roy Wilkins Recreation Center,,05/16/2023 08:00:00 PM,16,16,Roy Wilkins' Learn To Swim: Children - Tuesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Tot,08/19/2023 04:00:00 PM,13,7,"Flushing Meadows Aquatics Center - Parent and Tot Learn to Swim (Saturdays, 12pm)"
,M,Constance Baker Motley Recreation Center,Adult,02/04/2023 05:15:00 PM,25,17,Constance Baker Motely Learn to Swim: Adults - ADMIN ONLY
,M,Constance Baker Motley Recreation Center,Level 1,02/11/2023 03:30:00 PM,19,14,Constance Baker Motley Saturday Children Learn to Swim Level 1
,B,St. John's Recreation Center,Adult,02/12/2022 05:15:00 PM,24,7,St. John's Learn to Swim: Adults
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,03/18/2024 05:00:00 PM,5,3,Flushing Meadows Aquatic Center Adult Learn to Swim Level 2 - Mondays
,Q,Roy Wilkins Recreation Center,,06/13/2024 08:00:00 PM,26,5,Roy Wilkins Learn To Swim: Children - Thursday
,B,St. John's Recreation Center,Seniors,12/15/2022 02:00:00 PM,7,7,St. John's Learn to Swim: Seniors
,M,Gertrude Ederle Recreation Center,Level 1,01/20/2024 03:30:00 PM,29,13,Gertrude Ederle Saturday Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,03/02/2024 07:00:00 PM,5,3,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 3 - Saturdays, 2pm"
,B,Metropolitan Pool & Recreation Center,Adult,04/23/2022 04:00:00 PM,19,13,Metropolitan Learn to Swim: Adults
,B,Metropolitan Pool & Recreation Center,Adult,02/25/2023 05:30:00 PM,30,8,Metropolitan Learn to Swim: Adults - ADMIN ONLY
,B,St. John's Recreation Center,Level 2,04/27/2024 02:30:00 PM,32,12,St. John's Learn to Swim: Saturdays Children Level 2
,Q,Roy Wilkins Recreation Center,,10/24/2024 08:00:00 PM,27,12,Roy Wilkins: Afterschool Learn to Swim
,Q,Roy Wilkins Recreation Center,Level 1,08/30/2023 07:30:00 PM,30,14,Roy Wilkins Recreation Center - Children's Learn to Swim Level 1 (Wednesdays)
,B,Metropolitan Pool & Recreation Center,Level 1,11/09/2024 03:30:00 PM,38,13,Metropolitan: Children's Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,06/11/2024 08:00:00 PM,16,11,"Flushing Meadows Aquatic Center Children Learn to Swim: Swimmer Level 4 - Tuesdays, 4pm"
,B,St. John's Recreation Center,Level 2,05/11/2024 02:30:00 PM,32,7,St. John's Learn to Swim: Saturdays Children Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,05/28/2024 08:00:00 PM,16,10,"Flushing Meadows Aquatic Center Children Learn to Swim: Swimmer Level 4 - Tuesdays, 4pm"
,M,Gertrude Ederle Recreation Center,,04/11/2023 03:00:00 PM,30,14,Holiday Learn to Swim Gertrude Ederle Class A
,B,St. John's Recreation Center,Level 2,02/19/2022 03:00:00 PM,14,3,St. John's Learn to Swim: Children Level 2
,B,St. John's Recreation Center,,01/30/2023 09:00:00 PM,15,1,St. John's Learn to Swim: Children - Mondays - ADMIN ONLY
,B,St. John's Recreation Center,,04/29/2024 08:00:00 PM,31,2,St. John's Learn to Swim: Children - Mondays
,X,St. Mary's Recreation Center,Level 1,06/11/2022 03:30:00 PM,22,22,St. Mary's Learn to Swim Level 1
,Q,Roy Wilkins Recreation Center,,01/10/2024 09:00:00 PM,19,13,Roy Wilkins Learn To Swim: Children - Wednesday
,B,Metropolitan Pool & Recreation Center,Level 1,02/10/2024 04:00:00 PM,30,12,Metropolitan Learn to Swim: Children Level 1
,B,Metropolitan Pool & Recreation Center,Level 2,05/13/2023 02:00:00 PM,29,15,Metropolitan Saturday Children Learn to Swim Level 2
,Q,Roy Wilkins Recreation Center,,12/27/2022 04:00:00 PM,10,5,Holiday Learn to Swim Roy Wilkins Class B
,M,Asser Levy Recreation Center,Level 1,12/02/2023 03:30:00 PM,22,18,Asser Levy Saturday Children Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,11/19/2024 11:00:00 PM,13,12,FMAC: Children's Learn to Swim (Level 2)
,X,St. Mary's Recreation Center,Adult,02/26/2022 06:00:00 PM,14,4,St.Mary's Learn to Swim: Adults
,M,Asser Levy Recreation Center,,02/22/2023 09:00:00 PM,26,10,Asser Levy Learn to Swim: Children - Wednesdays - ADMIN ONLY
,M,Asser Levy Recreation Center,,10/11/2023 08:00:00 PM,24,12,Asser Levy Learn to Swim: Children - Wednesdays
,M,Constance Baker Motley Recreation Center,Adult,12/03/2022 05:15:00 PM,30,5,Constance Baker Motley Learn to Swim: Adults
1,Q,Liberty Pool,Tot,07/13/2023 04:00:00 PM,10,3,Session I Tots Learn to Swim Liberty Pool Class  B
,M,Constance Baker Motley Recreation Center,Level 2,04/29/2023 01:30:00 PM,28,16,Constance Baker Motley Saturday Children Learn to Swim Level 2
,X,St. Mary's Recreation Center,Tot,04/09/2022 04:30:00 PM,5,6,St. Mary's Learn to Swim:Tots
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,05/28/2024 09:00:00 PM,15,4,"Flushing Meadows Aquatics Center- Children Learn to Swim Level 2 - Tuesdays, 5pm"
,M,Asser Levy Recreation Center,Seniors,11/09/2023 07:30:00 PM,3,3,Asser Levy Learn to Swim: Seniors
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,05/09/2023 10:00:00 PM,10,7,"Learn to Swim: Children ADV. Beginner Level 2 - Tuesdays, 6pm"
,M,Gertrude Ederle Recreation Center,Level 1,02/05/2022 04:30:00 PM,19,13,Gertrude Ederle Learn to Swim: Children's Level 1
,M,Gertrude Ederle Recreation Center,Level 1,02/24/2024 03:30:00 PM,28,15,Gertrude Ederle Saturday Learn to Swim Level 1
,Q,Roy Wilkins Recreation Center,,03/30/2023 08:00:00 PM,23,13,Roy Wilkins' Learn To Swim: Children - Thursdays
,Q,Roy Wilkins Recreation Center,Level 1,02/26/2022 05:00:00 PM,13,12,Roy Wilkins Learn to Swim: Children Level 1
,M,Constance Baker Motley Recreation Center,Adult,10/17/2024 06:30:00 PM,11,4,Constance Baker Motley: Adult Learn to Swim
,B,St. John's Recreation Center,Level 1,01/13/2024 04:30:00 PM,19,13,St. Johns Saturday Children Learn to Swim Level 1
,B,Metropolitan Pool & Recreation Center,Level 2,03/18/2023 02:00:00 PM,25,9,Metropolitan Saturday Children Learn to Swim Level 2
,Q,Roy Wilkins Recreation Center,,06/10/2024 08:00:00 PM,18,13,Roy Wilkins SQPA Learn to Swim: Children - Monday
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,10/18/2024 05:00:00 PM,20,7,FMAC: Adult Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,07/16/2024 10:00:00 PM,4,1,FMAC: Learn to Swim: Children's Water Test Tuesday 6pm (Level 2)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,10/19/2023 08:00:00 PM,5,5,Learn to Swim: Children ADV. Swimmer Level 5 - Thursdays 4pm
,M,Asser Levy Recreation Center,Adult,10/21/2023 04:00:00 PM,30,23,Asser Levy Learn to Swim: Adults
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,10/23/2024 11:00:00 PM,21,10,FMAC: Adult Learn to Swim (Level 2)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,06/16/2023 05:00:00 PM,6,3,Learn to Swim: Adult Beginner Level 1
,M,Gertrude Ederle Recreation Center,,10/17/2023 08:00:00 PM,22,19,Gertrude Ederle Learn to Swim: Children - Tuesdays
,M,Asser Levy Recreation Center,Adult,04/22/2023 04:15:00 PM,33,16,Asser Levy Learn to Swim: Adults
,B,St. John's Recreation Center,,02/22/2023 09:00:00 PM,15,2,St. John's Learn to Swim: Children - Wednesdays - ADMIN ONLY
3,Q,Liberty Pool,Tot,08/17/2023 04:00:00 PM,13,4,Session 3: Liberty Pool - Tots Learn to Swim (Class B)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,01/22/2024 06:00:00 PM,5,4,Flushing Meadows Aquatic Center Adult Learn to Swim Level 2 - Mondays
,M,Wagner College,Level 2,06/10/2023 09:45:00 PM,18,12,Wagner College Saturday Children Learn to Swim Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,09/28/2023 10:00:00 PM,10,5,"Flushing Meadows Aquatics Center Children's Learn to Swim Level 2 (Thursdays, 6pm)"
2,,Hamilton Fish Pool,Level 1,07/31/2024 05:00:00 PM,,15,Session 2: Hamilton Fish Pool - Children's Learn to Swim Level 1 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,08/01/2024 04:00:00 PM,3,3,FMAC: Senior Learn to Swim (Level 2)
,M,Gertrude Ederle Recreation Center,Seniors,12/28/2023 06:00:00 PM,15,2,Gertrude Ederle Learn to Swim: Seniors
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,03/11/2024 08:00:00 PM,14,8,"Learn to Swim: Children Swimmer Level 4 - Mondays, 4pm"
,B,St. John's Recreation Center,Level 2,06/17/2023 02:30:00 PM,36,8,St. Johns Saturday Children Learn to Swim Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,02/28/2024 06:00:00 PM,10,4,Flushing Meadows Aquatic Center Adult Learn to Swim Level 2 - Wednesday
,M,Asser Levy Recreation Center,Level 1,05/07/2022 04:30:00 PM,14,14,Asser Levy Children Learn to Swim Level 1
,Q,Roy Wilkins Recreation Center,,03/23/2022 05:45:00 PM,4,5,Learn to Swim
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,01/12/2024 06:00:00 PM,12,5,Flushing Meadows Aquatic Center Adult Learn to Swim Level 2 - Fridays
,B,St. John's Recreation Center,,03/25/2024 08:00:00 PM,26,13,St. John's Learn to Swim: Children
,Q,Roy Wilkins Recreation Center,,01/11/2024 09:00:00 PM,26,18,Roy Wilkins Learn To Swim: Children - Thursday
2,,Astoria Pool,Level 1,07/26/2024 05:00:00 PM,47,22,Session 2: Astoria Pool - Children's Learn to Swim Level 1 (Class A)
,M,Wagner College,Level 2,03/16/2024 09:45:00 PM,22,9,Wagner College Saturday Children Learn to Swim Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,02/22/2024 09:00:00 PM,7,7,"Learn to Swim: Children Intermediate Level 4 - Thursdays, 4pm"
,M,Asser Levy Recreation Center,Level 1,11/25/2023 03:30:00 PM,22,7,Asser Levy Saturday Children Learn to Swim Level 1
,M,Constance Baker Motley Recreation Center,Level 2,06/22/2024 01:30:00 PM,25,6,Constance Baker Motley Saturday Children Learn to Swim Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,08/02/2023 09:00:00 PM,14,5,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Wednesdays, 5pm)"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,11/22/2023 09:00:00 PM,3,1,"Learn to Swim: Children ADV. Swimmer Level 5 - Wednesdays, 4pm"
,B,Red Hook Pool,Level 2A,07/12/2023 03:00:00 PM,35,10,Session l Children Learn to Swim Red Hook Pool Level 2A
3,Q,Fisher Pool,Level 2,08/16/2024 03:00:00 PM,,18,Session 3: Fisher Pool - Children's Learn to Swim Level 2 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,07/18/2023 10:00:00 PM,15,9,"Flushing Meadows Aquatics Center-Children's Learn to Swim Level 2 - (Tuesdays, 6pm)"
,M,Asser Levy Recreation Center,Level 2,04/27/2024 01:30:00 PM,20,2,Asser Levy Saturday Children Learn to Swim Level 2
,Q,Roy Wilkins Recreation Center,,02/20/2024 09:00:00 PM,23,18,Roy Wilkins Learn To Swim: Children - Tuesday
1,,Astoria Pool,Tot,07/09/2024 04:00:00 PM,,19,Session 1: Astoria Pool - Tots Learn to Swim (Class B)
3,,Hamilton Fish Pool,Level 1,08/16/2023 05:00:00 PM,48,15,Session 3: Hamilton Fish Pool - Children's Learn to Swim Level 1 (Class A)
,B,St. John's Recreation Center,,01/22/2024 09:00:00 PM,26,9,St. John's Learn to Swim: Children
,B,Metropolitan Pool & Recreation Center,,04/03/2024 08:00:00 PM,35,12,Metropolitan Children Learn to Swim: Wednesdays
,M,Asser Levy Recreation Center,Level 1,03/09/2024 03:30:00 PM,20,2,Asser Levy Saturday Children Learn to Swim Level 1
,M,Constance Baker Motley Recreation Center,Level 2,11/23/2024 02:30:00 PM,27,8,Constance Baker Motley: Children's Learn to Swim (Level 2)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,05/13/2023 06:00:00 PM,11,8,"Learn to Swim: Children Intermediate Level 3 - Saturdays, 9am"
3,X,Crotona Pool,Level 1,08/11/2023 05:00:00 PM,48,43,Session 3: Crotona Pool - Children's Learn to Swim Level 1 (Class A)
,B,Metropolitan Pool & Recreation Center,Level 2,03/23/2024 02:00:00 PM,26,9,Metropolitan Learn to Swim: Children Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,07/31/2024 04:00:00 PM,14,9,FMAC: Adult Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,04/06/2023 05:00:00 PM,8,4,Learn to Swim: Senior ADV. Beginner Level 2 - Thursdays
,M,Constance Baker Motley Recreation Center,Level 1,12/02/2023 03:30:00 PM,15,15,Constance Baker Motley Saturday Children Learn to Swim Level 1
,Q,Roy Wilkins Recreation Center,Level 1,10/28/2023 03:30:00 PM,30,13,Roy Wilkins Recreation Center - Children's Learn to Swim Level 1 (Saturdays)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,01/31/2024 09:00:00 PM,11,9,"Learn to Swim: Children Intermediate Level 3 - Wednesdays, 4pm"
,B,St. John's Recreation Center,Level 2,02/18/2023 03:30:00 PM,11,5,St. Johns Saturday Children Learn to Swim Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,06/25/2024 11:00:00 PM,15,4,"Flushing Meadows Aquatics Center- Children Learn to Swim Level 2 - Tuesdays, 7pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,10/31/2023 05:00:00 PM,13,6,Flushing Meadows Aquatic Center  Adult Learn to Swim Level 2  - Tuesdays
,Q,Flushing Meadows Corona Park Aquatics Center,,02/21/2024 04:00:00 PM,30,26,Holiday Learn to Swim Flushing Meadows Pool Class B
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,08/29/2023 05:00:00 PM,12,5,Flushing Meadows Aquatics Center- Adult Learn to Swim Level 2 (Tuesdays)
,M,Asser Levy Recreation Center,,01/03/2024 09:00:00 PM,24,10,Asser Levy Learn to Swim: Children - Wednesdays
,B,St. John's Recreation Center,Level 2,11/16/2024 03:30:00 PM,19,8,St. John's: Children's Learn to Swim (Level 2)
,Q,Roy Wilkins Recreation Center,Level 2,08/15/2023 04:00:00 PM,33,24,Roy Wilkins Recreation Center - Children's Learn to Swim Level 2 (Tuesdays)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,10/31/2023 09:00:00 PM,15,6,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Tuesdays, 5pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,12/02/2023 03:00:00 PM,11,6,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Saturdays,10am)"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,09/13/2023 08:00:00 PM,11,9,Learn to Swim: Children Intermediate Level 3 - Wednesdays 4pm
3,B,Red Hook Pool,Level 2,08/14/2024 03:00:00 PM,56,25,Session 3: Red Hook Pool - Children's Learn to Swim Level 2 (Class A)
3,,Hamilton Fish Pool,Level 2,08/12/2024 03:00:00 PM,,20,Session 3: Hamilton Fish Pool - Children's Learn to Swim Level 2 (Class A)
,,Offsite Locations,,04/30/2024 04:00:00 PM,,19,Holiday Learn to Swim Curtis High School Class C
3,Q,Liberty Pool,Level 2,08/18/2023 05:00:00 PM,18,5,Session 3: Liberty Pool - Children's Learn to Swim Level 2 (Class A)
,Q,Roy Wilkins Recreation Center,,05/04/2022 05:45:00 PM,3,3,Roy Wilkins Senior Learn to Swim (Wednesday)
,B,Metropolitan Pool & Recreation Center,,02/02/2022 09:00:00 PM,11,6,Metropolitan Learn to Swim: Children
,M,Gertrude Ederle Recreation Center,,02/23/2024 04:00:00 PM,20,17,Holiday Learn to Swim Gertrude Ederle Class A
,Q,Roy Wilkins Recreation Center,,06/04/2024 08:00:00 PM,26,8,Roy Wilkins Learn To Swim: Children - Tuesday
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,07/16/2024 10:00:00 PM,28,12,FMAC: Children's Learn to Swim (Level 2)
,M,Constance Baker Motley Recreation Center,,11/21/2024 09:00:00 PM,25,2,Constance Baker Motley: Afterschool Learn to Swim
,M,Asser Levy Recreation Center,,12/30/2023 05:00:00 PM,22,9,Asser Levy Recreation Center - Children Learn To Swim
,,Offsite Locations,Adult,06/15/2024 05:30:00 PM,,6,Evander Child's Learn to Swim: Adults - Saturdays
,,Offsite Locations,,04/13/2023 04:00:00 PM,30,6,Holiday Learn to Swim Evander Childs Educational Campus Class C
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,06/27/2023 08:00:00 PM,4,3,Learn to Swim: Children ADV. Swimmer Level 5
2,,Hamilton Fish Pool,Level 1B,07/28/2023 06:00:00 PM,48,29,Session II Children Learn to Swim Hamilton Fish Pool Level 1B
2,B,Red Hook Pool,Level 1,08/08/2024 06:00:00 PM,,6,Session 2: Red Hook Pool - Children's Learn to Swim Level 1 (Class B)
,B,St. John's Recreation Center,,12/21/2022 09:00:00 PM,15,1,St. John's Learn to Swim: Children - Wednesdays
,B,St. John's Recreation Center,Level 2,04/09/2022 02:00:00 PM,15,15,St. John's Learn to Swim Level 2
,M,Gertrude Ederle Recreation Center,,04/12/2023 03:00:00 PM,30,14,Holiday Learn to Swim Gertrude Ederle Class A
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,09/05/2023 10:00:00 PM,14,9,"Flushing Meadows Aquatics Center-Children's Learn to Swim Level 2 - (Tuesdays, 6pm)"
